Datetime ('YYMMDDHHMMSS'),DeviceInfo,Voltage,Gyroscope (X; Y; Z;),Counts_Per_Second,Max_CountsPerSecond,Counts_Per_Minute
231216162830,GMC-500+Re 2.42,3.96v,(1; 100; 75;),0,0,0
231216162831,GMC-500+Re 2.42,3.94v,(1; 100; 75;),0,0,0
231216162832,GMC-500+Re 2.42,3.94v,(0; 100; 75;),0,0,0
231216162832,GMC-500+Re 2.42,3.94v,(0; 100; 75;),0,0,0
231216162833,GMC-500+Re 2.42,3.93v,(1; 100; 75;),0,0,0
231216162834,GMC-500+Re 2.42,3.95v,(1; 100; 75;),0,0,0
231216162834,GMC-500+Re 2.42,3.95v,(0; 100; 75;),0,0,0
231216162835,GMC-500+Re 2.42,3.95v,(0; 100; 74;),0,0,0
231216162836,GMC-500+Re 2.42,3.95v,(0; 100; 75;),0,0,0
231216162836,GMC-500+Re 2.42,3.94v,(0; 100; 75;),0,0,0
231216162837,GMC-500+Re 2.42,3.96v,(1; 100; 75;),0,0,0
231216162838,GMC-500+Re 2.42,3.94v,(0; 100; 74;),0,0,0
